nama_penyakit,total_tagihan,total_klaim,total_margin
"Gout, unspecified, multiple sites",2382282,2885400,-503118
Neonatal coma,2259966,2745700,-485734
Other low birth weight 1000 - 1249g,2259966,2745700,-485734
Pre-excitation syndrome,0,446400,-446400
"Fracture of shaft of radius, open",0,420300,-420300
ACUTE POSTHAEMORRHAGIC ANAEMIA,2045026,2404900,-359874
Acute lymphadenitis of trunk,237147,578700,-341553
Postmenopausal atrophic vaginitis,240984,578700,-337716
Other female pelvic inflammatory diseases,247481,578700,-331219
"Special examination, unspecified",253000,578700,-325700
Dyslexia and alexia,0,322400,-322400
Acute gastroenteropathy due to Norwalk agent,1589090,1904900,-315810
Chronic anal fissure,5474994,5752700,-277706
Benign neoplasm of aortic body and other paraganglia,310000,578700,-268700
"Indeterminate sex, unspecified",345000,578700,-233700
Nonspecific urethritis,373686,578700,-205014
GRANULOMA INGUINALE,0,198700,-198700
Sprain and strain of lateral collateral ligament,0,198700,-198700
Sprain and strain of ulna collateral ligament,0,198700,-198700
Achondrogenesis,0,196100,-196100
"Cervicocranial syndrome, occipito-atlanto-axial region",0,196100,-196100
"Chronic instability, medial collateral ligament or other and unspecified medial meniscus",0,196100,-196100
"Chronic instability, posterior cruciate ligament or posterior horn of medial meniscus",0,196100,-196100
"Coagulation defect, unspecified",0,196100,-196100
Derangement of other and unspecified lateral meniscus due to old tear or injury,0,196100,-196100
Dislocation of midtarsal (joint),0,196100,-196100
"Disorder of brain, unspecified",0,196100,-196100
Drug-induced tics and other tics of organic origin,0,196100,-196100
"Eccrine sweat disorder, unspecified",0,196100,-196100
Examination for period of rapid growth in childhood,0,196100,-196100
"Fracture of malar and maxillary bones, closed",0,196100,-196100
"Gastroduodenitis, unspecified",0,196100,-196100
"Juvenile osteochondrosis of tibia and fibula, shoulder region",0,196100,-196100
Malignant neoplasm of ileum,0,196100,-196100
"Malignant neoplasm of ribs, sternum and clavicle",0,196100,-196100
Monoplegia of upper limb,0,196100,-196100
Mumps with other complications,0,196100,-196100
Muscular dystrophy,0,196100,-196100
Organic mood [affective] disorders,0,196100,-196100
Other specific personality disorders,0,196100,-196100
Other specified disorders of brain in diseases classified elsewhere,0,196100,-196100
Other symptoms and signs involving emotional state,0,196100,-196100
"Pain in a joint, pelvic region and thigh",0,196100,-196100
Perifolliculitis capitis abscedens,0,196100,-196100
Pulmonary valve atresia,0,196100,-196100
Retinoschisis and retinal cysts,0,196100,-196100
"Rheumatoid bursitis, multiple sites",0,196100,-196100
Seborrhoea capitis,0,196100,-196100
Seborrhoeic dermatitis,0,196100,-196100
Secondary malignant neoplasm of bone and bone marrow,0,196100,-196100
"Spondylolisthesis, multiple sites in spine",0,196100,-196100
Sprain and strain of medial collateral ligament,0,196100,-196100
Sprain and strain of other specified sites of hip,0,196100,-196100
Traumatic arthropathy,0,196100,-196100
Vesical tenesmus,0,196100,-196100
"Type 2 diabetes mellitus with ketoacidosis, without coma",4038582,4207300,-168718
Fitting and adjustment of other external prosthetic devices,417973,578700,-160727
Heat syncope,0,159500,-159500
Candidiasis,2128595,2269000,-140405
"Singleton, born outside hospital",175000,308900,-133900
"Congenital deformity of feet, unspecified",175000,301800,-126800
Wheezing,215073,338300,-123227
Long labour,5988928,6103200,-114272
Viral and other specified intestinal infections,2161762,2259100,-97338
"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",230000,323800,-93800
Melanocytic naevi,105000,196100,-91100
Acquired haemolytic anaemia,110000,196100,-86100
Breast engorgement of newborn,110000,196100,-86100
"Congenital malformation of peripheral vascular system, unspecified",110000,196100,-86100
Dilated cardiomyopathy,110000,196100,-86100
Double outlet right ventricle,110000,196100,-86100
"Irritant contact dermatitis, unspecified cause",110000,196100,-86100
Malignant neoplasm of connective and soft tissue of thorax,110000,196100,-86100
Moderate cervical dysplasia,110000,196100,-86100
Neonatal infective mastitis,110000,196100,-86100
Neonatal jaundice from breast milk inhibitor,110000,196100,-86100
Neoplasm of uncertain or unknown behaviour of larynx,110000,196100,-86100
Other amnesia,110000,196100,-86100
Other and unspecified lesions of oral mucosa,110000,196100,-86100
Other metabolic disorders,110000,196100,-86100
Other shoulder lesions,110000,196100,-86100
Person consulting for explanation of investigation findings,110000,196100,-86100
"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",110000,196100,-86100
Solitary plasmacytoma,110000,196100,-86100
"Special screening examination for neoplasm, unspecified",110000,196100,-86100
Other pulmonary aspergillosis,111430,196100,-84670
Congenital absence and aplasia of penis,115000,196100,-81100
"Congenital malformation of male genital organ, unspecified",115000,196100,-81100
Congenital non-neoplastic naevus,115000,196100,-81100
Malignant neoplasm of bones of skull and face,115000,196100,-81100
Malignant neoplasm of testis,115000,196100,-81100
Other congenital malformations of testis and scrotum,115000,196100,-81100
"Twin, born in hospital",118454,196100,-77646
Infantile hemiplegia,119729,196100,-76371
Other abscess of pharynx,120170,196100,-75930
"Care involving use of rehabilitation procedure, unspecified",95000,169100,-74100
"Myoneural disorder, unspecified",95000,169100,-74100
Dermatitis due to ingested food,123428,196100,-72672
"Staphylococcal infection, unspecified",128870,196100,-67230
"Developmental disorder of scholastic skills, unspecified",129130,196100,-66970
"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified",130259,196100,-65841
Other vitamin deficiencies,132524,196100,-63576
"Birth injury to scalp, unspecified",134181,196100,-61919
Bronchopulmonary dysplasia originating in the perinatal period,134181,196100,-61919
Osteitis condensans,134181,196100,-61919
Chronic sinusitis,5458284,5519900,-61616
NUTRITIONAL AND METABOLIC DIS.,137315,196100,-58785
"Mental and behavioural disorders due to use of alcohol, acute intoxication",211805,269100,-57295
Other congenital functional disorders of colon,141280,196100,-54820
"Viral intestinal infection, unspecified",143900,196100,-52200
Autoimmune polyglandular failure,145508,196100,-50592
Other contraceptive management,145566,196100,-50534
"Disorder of central nervous system, unspecified",145595,196100,-50505
Clubbing of fingers,146173,196100,-49927
Constitutional tall stature,146251,196100,-49849
Other specified disorders of ear,146985,196100,-49115
Other disorders following mastoidectomy,215000,263600,-48600
Achondroplasia,147684,196100,-48416
Birth injury to scalp,147787,196100,-48313
Ulcerative (chronic) rectosigmoiditis,149762,196100,-46338
Other specified conditions of integument specific to fetus and newborn,152687,198700,-46013
"Rapidly progressive nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",150797,196100,-45303
Miliaria profunda,150837,196100,-45263
Injury of colon,150991,196100,-45109
Primary genital syphilis,153480,196100,-42620
Traumatic rupture of ligament of finger at metacarpophalangeal and interphalangeal joint(s),153613,196100,-42487
"Benign neoplasm of central nervous system, unspecified",155000,196100,-41100
Disorders of visual cortex,155000,196100,-41100
"Myeloid leukaemia, unspecified",155000,196100,-41100
Unspecified injury of neck,139351,179700,-40349
Attention to surgical dressings and sutures,155855,196100,-40245
Pica of infancy and childhood,159288,196100,-36812
"Malignant neoplasm of skin of eyelid, including canthus",160000,196100,-36100
"Deficiency of nutrient element, unspecified",160242,196100,-35858
Sleep apnoea,160788,196100,-35312
Abnormal involuntary movements,161308,196100,-34792
Amoebic lung abscess (J99.8*),162525,196100,-33575
"Fracture of lower end of femur, closed",162601,196100,-33499
Pyothorax,165057,196100,-31043
Pulmonary mucormycosis,167102,196100,-28998
Insect bite of wrist and hand,167123,196100,-28977
Gingival enlargement,169826,198700,-28874
Erythema infectiosum [fifth disease],168709,196100,-27391
"Low back pain, multiple sites",168864,196100,-27236
Other and unspecified skin changes,170788,196100,-25312
Anorexia nervosa,170819,196100,-25281
"Other specified diabetes mellitus, with ophthalmic complications",420004,444300,-24296
Other apnoea of newborn,172068,196100,-24032
Corneal pigmentations and deposits,176616,196100,-19484
"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",176974,196100,-19126
Disorders of accommodation,177016,196100,-19084
Microphthalmos,177500,196100,-18600
"Ankylosing spondylitis, site unspecified",120000,134300,-14300
Injury of femoral vein at hip and thigh level,120000,134300,-14300
"Neuralgia and neuritis, unspecified, hand",120000,134300,-14300
Panniculitis affecting regions of neck and back,120000,134300,-14300
"Congenital syphilis, unspecified",181880,196100,-14220
Trigeminal neuralgia,5842364,5855700,-13336
Congenital single renal cyst,182951,196100,-13149
"Dislocation, sprain and strain of joints and ligaments of knee",183848,196100,-12252
Secondary parkinsonism due to other external agents,184486,196100,-11614
Disorders of gallbladder and biliary tract in diseases classified elsewhere,185051,196100,-11049
Other keratitis,186497,196100,-9603
"Arthritis, unspecified, multiple sites",125000,134300,-9300
"Arthrosis, unspecified, shoulder region",125000,134300,-9300
Injury of muscle and tendon of other parts of biceps,125000,134300,-9300
"Other dorsalgia, lumbosacral region",125000,134300,-9300
Polyarthrosis,125000,134300,-9300
"Rheumatoid arthritis, unspecified, forearm",125000,134300,-9300
"Sprain and strain of wrist, part unspecified",125000,134300,-9300
"Unspecified scoliosis, thoracolumbar region",125000,134300,-9300
Rectal abscess,187975,196100,-8125
Granuloma annulare,190000,196100,-6100
Other specified injuries of head,191494,196100,-4606
Congenital stenosis and stricture of lacrimal duct,191497,196100,-4603
Other specified inflammation of eyelid,193142,196100,-2958
Abnormality of albumin,0,0,0
"Achondrogenesis, unspecified",0,0,0
Allergic rhinitis due to pollen,0,0,0
Amoebic liver abscess,0,0,0
"Ankylosis of joint, lower leg",0,0,0
Anorectal fistula,0,0,0
"Benign neoplasm of brain , supratentorial",0,0,0
"Calcaneal spur, multiple sites",0,0,0
Calculus of prostate,0,0,0
"Caught, crushed, jammed or pinched in or between objects",0,0,0
"Cerebrovascular disease, unspecified",0,0,0
"Contusion of lower limb, level unspecified",0,0,0
"Dysplasia of cervix uteri, unspecified",0,0,0
Foreign body in mouth,0,0,0
Fracture of coccyx,0,0,0
Fracture of unspecified body region,0,0,0
Gonococcal infection of musculoskeletal system,0,0,0
"Influenza, virus not identified",0,0,0
Intermediate hyperglycaemia with neurological complication,0,0,0
Intracerebral haemorrhage in cerebellum,0,0,0
Ischaemic infarction of muscle,0,0,0
"Juvenile rheumatoid arthritis, lower leg",0,0,0
Lymphangitis,0,0,0
"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",0,0,0
Malignant neoplasm of other and unspecified major salivary glands,0,0,0
"Myopathy, unspecified",0,0,0
Neonatal diabetes mellitus,0,0,0
Neoplasm of uncertain or unknown behaviour of adrenal gland,0,0,0
Other childhood disorders of social functioning,0,0,0
Other infestations,0,0,0
Other myopathies,0,0,0
"Other respiratory tuberculosis, confirmed bacteriologically and histologically",0,0,0
Other specified inflammation of vagina and vulva,0,0,0
Other urticaria,0,0,0
"Post-traumatic hydrocephalus, unspecified",0,0,0
"Residual foreign body in soft tissue, ankle and foot",0,0,0
"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",0,0,0
Superficial injury of thorax,0,0,0
Tinea manuum,0,0,0
"Trisomy 21, meiotic nondisjunction",0,0,0
"Unspecified deforming dorsopathy, cervical region",0,0,0
Vulvar cyst,0,0,0
Supervision of normal first pregnancy,6106669,6103200,3469
Neurofibromatosis (nonmalignant),200000,196100,3900
"Rapidly progressive nephritic syndrome, other",201245,196100,5145
Portal hypertension,202745,196100,6645
Gonococcal infection,203217,196100,7117
Type 1 diabetes mellitus with other specified renal complication,6162813,6146000,16813
"Acute nephritic syndrome, diffuse crescentic glomerulonephritis",214762,196100,18662
Other inflammation of eyelid,224227,198700,25527
"Lymphangioma, any site",233522,201000,32522
"Strabismus, unspecified",229480,196100,33380
"Disorder of lipoprotein metabolism, unspecified",230155,196100,34055
Progressive external ophthalmoplegia,230588,196100,34488
"Malignant neoplasm of connective and soft tissue of head, face and neck",235734,201000,34734
Measles with other complications,1974192,1939100,35092
Hereditary choroidal dystrophy,284036,245600,38436
Injury of flexor muscle and tendon of other finger at wrist and hand level,253236,201000,52236
"Crohn's disease, unspecified",226119,164100,62019
